Symbol,Trade Date,Quantity,Purchase Price,Commission
AMD,20250731,1.00,175,1.000022
NVDA,20250417,4.00,104.6,1.00014
NVDA,20250221,3.00,135,1.000105
NVDA,20250113,2.00,130,1.00007
NVDA,20250127,5.00,118.4,1.000175
NVDA,20240801,2.75,117.3718182,1
NVDA,20240801,2.00,115,1
NVDA,20240801,2.00,113,1
NVDA,20240801,5.00,107.5,1
NVDA,20240802,2.00,105.3,1
NVDA,20240806,3.00,103,1
NVDA,20240722,5.25,120.2590476,1
NVDA,20240730,12.00,107,1
NVDA,20250707,-14.00,157.9016,1.002702
NVDA,20250709,-5.00,163,1.00094
NVDA,20250722,10.00,170,1.00022
NVDA,20250722,5.00,169,1.00011
NVDA,20250722,10.00,168,1.00022
TSLA,20250701,5.00,300,1.00011
TSLA,20250702,5.00,315,1.00011
TSLA,20250707,5.00,298.88,1.00011
TSLA,20250709,5.00,295,1.00011
TSLA,20250722,-10.00,333,1.00188
TSLA,20250605,10.00,295,1.00035
TSLA,20250514,-10.00,349,1.00201
TSLA,20250409,5.00,263.5,1.000175
TSLA,20250211,10.00,345.59,1.00035
TSLA,20250221,5.00,340.725,1.00023
TSLA,20250221,5.00,340.99,1.00023
TSLA,20250103,4.00,405.5,1.00014
TSLA,20250106,5.00,406,1.000175
TSLA,20250129,5.00,397,1.000175
TSLA,20250129,10.00,390,1.00035
TSLA,20241230,1.00,419,1
