Symbol,Trade Date,Quantity,Purchase Price,Commission
DJT,20250707,20.00,19,1.00044
DJT,20250714,10.00,18.3,1.00022
DJT,20250717,30.00,18.8,1.00066
DJT,20250729,30.00,18.2,1.00066
DJT,20250731,50.00,17.6,1.0011
DJT,20250731,40.00,17.55,1.00088
DJT,20250612,25.00,20.05,1.000875
DJT,20250618,20.00,18.6,1.0007
DJT,20250625,15.00,18,1.000525
DJT,20250626,10.00,17.75,1.00035
DOMH,20250701,80.00,5.2,1.00176
DOMH,20250707,50.00,5.1,1.0011
DOMH,20250709,50.00,5,1.0011
DOMH,20250710,50.00,4.8,1.0011
DOMH,20250725,50.00,4.905,1.0011
DOMH,20250725,50.00,4.9,1.0011
DOMH,20250618,10.00,6.2,0.62035
DOMH,20250623,10.00,5.5,0.55035
