Symbol,Trade Date,Quantity,Purchase Price,Commission
AMD,20250731,1.0,175.0,1.000022
NVDA,20250417,4.0,104.6,1.00014
NVDA,20250221,3.0,135.0,1.000105
NVDA,20250113,2.0,130.0,1.00007
NVDA,20250127,5.0,118.4,1.000175
NVDA,20240801,2.75,117.3718182,1.0
NVDA,20240801,2.0,115.0,1.0
NVDA,20240801,2.0,113.0,1.0
NVDA,20240801,5.0,107.5,1.0
NVDA,20240802,2.0,105.3,1.0
NVDA,20240806,3.0,103.0,1.0
NVDA,20240722,5.25,120.2590476,1.0
NVDA,20240730,12.0,107.0,1.0
NVDA,20250707,14.0,157.9016,1.002702
NVDA,20250709,5.0,163.0,1.00094
NVDA,20250722,10.0,170.0,1.00022
NVDA,20250722,5.0,169.0,1.00011
NVDA,20250722,10.0,168.0,1.00022
TSLA,20250701,5.0,300.0,1.00011
TSLA,20250702,5.0,315.0,1.00011
TSLA,20250707,5.0,298.88,1.00011
TSLA,20250709,5.0,295.0,1.00011
TSLA,20250722,10.0,333.0,1.00188
TSLA,20250605,10.0,295.0,1.00035
TSLA,20250514,10.0,349.0,1.00201
TSLA,20250409,5.0,263.5,1.000175
TSLA,20250211,10.0,345.59,1.00035
TSLA,20250221,5.0,340.725,1.00023
TSLA,20250221,5.0,340.99,1.00023
TSLA,20250103,4.0,405.5,1.00014
TSLA,20250106,5.0,406.0,1.000175
TSLA,20250129,5.0,397.0,1.000175
TSLA,20250129,10.0,390.0,1.00035
TSLA,20241230,1.0,419.0,419.0
