Symbol,Trade Date,Quantity,Purchase Price,Commission
CRCL,20250717,3.0,226.0,1.000066
CRCL,20250718,5.0,223.0,1.00011
CRCL,20250723,10.0,198.0,1.00022
CRCL,20250627,1.0,200.0,1.000035
CRCL,20250630,1.0,175.0,1.000035
COIN,20250701,20.0,338.03,1.00376
COIN,20250709,10.0,369.0,1.00188
COIN,20250710,10.0,380.0,1.00188
COIN,20250718,5.0,418.75,1.00011
COIN,20250722,4.0,417.0,1.000088
COIN,20250729,20.0,374.89,1.00386
COIN,20250731,5.0,350.0,1.00011
COIN,20250731,15.0,348.0,1.00033
COIN,20250612,10.0,244.34,1.00046
COIN,20250612,15.0,244.0,1.000525
COIN,20250623,5.0,305.0,1.000175
COIN,20250624,1.0,348.11,1.000046
COIN,20250625,10.0,350.04,1.00201
COIN,20250630,10.0,360.0,1.00201
COIN,20250514,20.0,260.0,1.00402
COIN,20250521,10.0,261.0,1.00201
COIN,20250409,10.0,177.0,1.00035
COIN,20250428,10.0,205.0,1.00035
COIN,20250221,25.0,250.5,1.000875
COIN,20250103,5.0,269.745,1.00023
COIN,20250115,5.0,275.5,1.0392995
COIN,20250116,10.0,284.1,1.0809898
COIN,20250127,15.0,270.0,1.000525
COIN,20250127,5.0,270.1,1.000175
COIN,20250127,15.0,265.5,1.000525
COIN,20241223,10.0,274.82,1.00048
HOOD,20250702,1.0,98.4,0.984022
BLK,20250715,1.0,1070.85,1.000022
BLK,20250717,1.0,1097.0,1.000022
BLK,20250721,1.0,1100.0,1.000022
BLK,20250723,1.0,1113.69,1.000188
BLK,20250620,1.0,975.0,1.000035
BLK,20250623,1.0,970.0,1.000035
BLK,20250509,1.0,925.0,1.000035
BLK,20250207,1.0,999.0,1.000035
BLK,20250213,1.0,967.0,1.000035
BLK,20241223,1.0,1025.0,1.000048
NDAQ,20250717,10.0,89.5,1.00022
GLXY,20250702,25.0,22.2,1.00055
GLXY,20250715,15.0,21.2,1.00033
GLXY,20250722,20.0,28.0,1.00044
GLXY,20250731,20.0,28.0,1.00044
